channel_id,channel_title,description,subscriber_count,view_count,video_count,published_at,category,city,country,niche,engagement_rate,search_query,scraped_at
UCNn6AaHharXIbkRleXGboiQ,Mumbiker Nikhil,"ABOUT ME:
I LOVE TO VLOG MY LIFE

Camera : Sony a7Riii

Follow me on instagram : nikkkhil 
Thank you.",4010000,1724714614,2868,2013-07-03T13:53:50Z,Beauty & Cosmetics,Mumbai,India,beauty,15.0,Mumbai beauty,2025-08-11T17:49:21.071935
UCNOtfkw_Xj3nxRKTyDAAYsw,Ranjanas Beauty Academy,"Professional Beauty Academy for Makeup, Skin and Hair Training (Govt. Authorised)

‘Beauty lies in the eyes of the beholder.’

Well, the cliché holds true in the modern world also. However, you need expert hands to glorify and adorn it so that it gets acclaim. A perfect beautician who has done training course from reputed beauty academy like Ranjanas Beauty Academy adds glare to your beauty and charm.

With the intention of spreading our 20 Years knowledge and expertise amongst budding beauticia",20600,1104410,29,2019-10-26T13:26:11.000855Z,Beauty & Cosmetics,Mumbai,India,beauty,15.0,Mumbai beauty,2025-08-11T17:49:21.503470
UCXDw4dD0LLRYXYek9dVtyxQ,Cara Clinic,"Built on the bedrock of looking as close to your natural self as possible, CARA Hair transplant & Aesthetic Clinic accentuates the beauty you are born with. Founded by Dr. Mohd Asif, M.D- Dermatologist & Dr. Aleena Rehman Otolaryngologist the clinic is focused on specific aesthetic procedures such as hair restoration procedures, non-surgical nose jobs, platelet-rich plasma, anti-aging & skin care treatments. CARA brand ethos is to provide modern aesthetic care using international standards to pr",101000,83017776,490,2019-03-04T12:58:17Z,Beauty & Cosmetics,Mumbai,India,beauty,15.0,Mumbai beauty,2025-08-11T17:49:21.787669
UCbPL8DcJWV_tKGkmb-TX_9Q,Divisha Agrawal,"Hey everyone! I'm Divisha and I make videos about Fashion, Beauty, Travel and Lifestyle. If you love watching fashion videos, lookbooks, fun vlogs, Beauty/Makeup related videos, do SUBSCRIBE to my channel.",72000,33859168,538,2020-05-22T17:13:25.943835Z,Beauty & Cosmetics,Mumbai,India,beauty,15.0,Mumbai beauty,2025-08-11T17:49:22.048357
UCbhvtdVt6nBLY44vGeM3ejA,Naushad Salon & Academy,"Naushad Salon & Academy is the ultimate place to learn about hair and beauty. The academy was founded by celebrity hair stylist Naushad Ahmed. This channel is dedicated to educate budding professionals about hair cutting, hair styling and beauty. Naushad Salon and Academy is based in Andheri, Mumbai. For more information you can visit the academy or contact us via Email or social media handles-

Naushad Phone- 9819571324
Academy Phone-  9967947744 / 022 2821 7778
Address-  Naushad Salon & Academ",1330,40287,27,2015-10-03T18:39:37Z,Beauty & Cosmetics,Mumbai,India,beauty,15.0,Mumbai beauty,2025-08-11T17:49:22.328655
UCodWlVgnB80W0Vgjur78dLA,Sayali MUA,"Hello Everyone,
Welcome to my channel.
I'm Sayali from Mumbai, India and I'm a Professional Makeup Artist.
I share Makeup Tutorials especially eye makeup tutorials on my channel.
If interested please Subcribe to our channel for videos related to Makeup and Makeup Reviews.
For Business Enquiries
Email : sayali.mua@gmail.com
Instagram : https://www.instagram.com/sayali.mua
",25500,5166535,125,2018-09-10T12:46:55Z,Beauty & Cosmetics,Mumbai,India,beauty,15.0,Mumbai beauty,2025-08-11T17:49:22.592750
UCxi4f-aD6TwhZFhCqdPLBXw,JoyGeeks | Aparnaa Gaanesh,"Hi, I am Aparnaa Gaanesh from Mumbai, India.  My channel is called JoyGeeks1 coz I think Joy is worth being Geeky about !!
Please do subscribe & hit the notification bell to stay tuned :) 

Cheers!!
Aparnaa Gaanesh




",92000,16402802,708,2018-06-01T13:46:40Z,Beauty & Cosmetics,Mumbai,India,beauty,15.0,Mumbai beauty,2025-08-11T17:49:22.860201
UC8vQTiOpYrhKBaTx2sINCuQ,MOUNIR,"
Learn from the Master. Download the Mounir Application, get yours here: https://apps.apple.com/us/app/mounir-education/id1633641966

MOUNIR
Hairstyling & Beauty Professionals 
M1-Lebanon +961 81 037 792 / info@mounir.com
M2-Italy info@m2group1.com
Mounir International Dubai +971 58 245 2466",434000,154057337,2276,2016-04-18T22:39:27Z,Beauty & Cosmetics,Mumbai,India,beauty,15.0,Mumbai beauty,2025-08-11T17:49:23.111878
UCCCn_EGiKvRUD7ZMEmguXQA,PM Beauty ,"Hello Everyone I Am Pranshi Makhijani From Mumbai I Make Videos On Hair Care, Hair Styles, Makeup, DIYS, Cooking, And Beauty. I Hope You Guys Enjoy These Videos As Much As I Do Making Them !. If You Guys Like The Videos Then Don't Forget to Subscribe To My Channel.",13900,3073175,310,2017-06-26T14:06:23Z,Beauty & Cosmetics,Mumbai,India,beauty,15.0,Mumbai beauty,2025-08-11T17:49:23.528037
UC_7hEWbpvZmbgW8zGC1LgiQ,PK Makeup Studio,"Welcome to Pkmakeupstudio - Your Makeup Education Hub!

Discover expert tutorials, tips, and tricks to master your makeup skills. Whether you’re just starting out or looking to refine your technique, this channel offers everything you need to create stunning looks and stay on top of beauty trends. Subscribe and join our community of makeup lovers today!

Class Inquiry:- +91 7228-996655
",1050000,94953988,213,2017-01-23T09:59:00Z,Beauty & Cosmetics,Mumbai,India,beauty,15.0,Mumbai beauty,2025-08-11T17:49:23.791324
