channel_id,channel_title,description,subscriber_count,view_count,video_count,published_at,category,city,country,niche,engagement_rate,search_query,scraped_at
UCBr6U1jwAR0KfIaZlhC1PiQ,UK International London Beauty School,"Welcome to UK International Beauty School, your gateway to a thriving career in the beauty and glamour industry. Whether your passion lies in becoming a makeup artist or hairstylist, join us at UKIBS, India's premier Hair, Makeup, and Beauty Academy in Delhi.

Conveniently located in Noida, Delhi, and Ghaziabad, our beauty school provides an array of distinctive and cutting-edge beauty makeup and hairstyling training courses and workshops featuring state-of-the-art tools and techniques.

In our ",19600,13212781,742,2020-02-28T07:53:18.21353Z,Beauty & Cosmetics,Delhi,India,beauty,15.0,Delhi beauty,2025-08-11T17:52:41.488475
UC9sGzU0_OrStMzch1YVU8qg,Raahi Makeovers,"Best Makeup Academy in Delhi - Raahi Makeovers
Are you looking for the best makeup academy in Delhi, that offers you best makeup artist course in Delhi that allows you bright makeup career.
Raahi is influencer and self-made makeup artist, has keen interest for creativity at an early age. Growing up, he had an amazing ability to see the beauty in everything and everyone.
10 years ago he entered in makeup world, and continuously revamping his creativity of fantasizing a beauty to the path of perfe",3020,1061155,373,2020-10-09T18:07:17.770618Z,Beauty & Cosmetics,Delhi,India,beauty,15.0,Delhi beauty,2025-08-11T17:52:42.065492
UCQZa-VQBYAdEblgB-pEO8HA,PREETI GERA,"Preeti Gera is one of the top certified makeup artists in Delhi and NCR. Being passionate about makeup from an early age, she has achieved her dreams of establishing her name in an industry she aligns with. She has been and continues to use high-quality products and is considerate of all skin tones and skin types taking everyone’s unique qualities in mind while working. With more than 7 years of experience, her team and herself has worked with over 5000 beautiful brides and helped over 1000 stud",37800,6102732,164,2023-03-10T12:03:43.32122Z,Beauty & Cosmetics,Delhi,India,beauty,15.0,Delhi beauty,2025-08-11T17:52:42.485966
UCrd936cqeQz8_ZsLQ0vvG2g,Pooja Makeovers,"Hey my youtube family….

Please subscribe my channel watching for videos 
Pooja makeovers

In this channel....u will see videos regarding ....
Makeup tutorials, makeup hacks, beauty, skin care, haircare, products reviews, lifestyle, fashion, skin care home remedies, health, fitness



Please support my channel pooja makeovers🙏❤️

my address - D-157, street no:8, laxmi nagar near  metro station, delhi 110092

my salon name = silky & shine beauty salon 

my Contact Number = [ 8447414614 ]
.
.
Plea",225000,118347865,1027,2022-05-04T08:36:06.749633Z,Beauty & Cosmetics,Delhi,India,beauty,15.0,Delhi beauty,2025-08-11T17:52:43.398489
UCm5h4MPOG-BlTZsRlqv6tDQ,Shweta Gaur  Makeup Artist & Academy,"Shweta Gaur Bollywood Makeup School: Elevating Beauty Education
Founded by the renowned celebrity makeup artist Shweta Gaur, our academy sets the benchmark for beauty education in India. Offering comprehensive courses in makeup, hairstyling, and nail art, we cater to all skill levels, from beginners to professionals. With campuses in Delhi and Noida, our hands-on training prepares students for real-world challenges, equipping them with the latest techniques and trends in the beauty industry.
Gui",82000,7280945,247,2014-02-01T17:42:52Z,Beauty & Cosmetics,Delhi,India,beauty,15.0,Delhi beauty,2025-08-11T17:52:43.666043
UCXxo1DikDre3KvHeQDs2ELA,Clinic Eximus Aesthetics  ,"Welcome to Clinic Eximus, your destination for premium aesthetic treatments! Dive into the world of beauty and rejuvenation with our expert team of cosmetic specialists. From advanced skincare solutions to cutting-edge procedures, we're dedicated to enhancing your natural beauty and confidence. Subscribe now for exclusive insights, tips, and transformations, and embark on your journey to radiant, youthful skin with Clinic Eximus!

Why Clinic Eximus - 

✅ More than 40 yrs of experience amongst th",122000,7543786,457,2022-03-03T07:06:25.870914Z,Beauty & Cosmetics,Delhi,India,beauty,15.0,Delhi beauty,2025-08-11T17:52:44.526571
UCUfJNMJWgakZeJF5sB101_Q,U Tutorial,My dance is my heart and my beauty is my soul 😍,7660,523478,13,2015-08-18T17:59:27Z,Beauty & Cosmetics,Delhi,India,beauty,15.0,Delhi beauty,2025-08-11T17:52:44.790207
UCv5Dhr5TAXgeo-CMeeshezQ,Shikha Beautyworld,"Hi everyone, I am Deepsikha Mohan and I am from Assam and I live in Delhi. I am very passionate about makeup and love trying different looks. I love makeup and dressing up. Here you will find Makeup tutorial videos, Beauty and Skin Care DIYs, Haul Videos and product reviews. Apart from this my hobbies are painting, DIY crafts, cooking, Travelling, Reading Books..Hope you will like my channel.

Please Subscribe to my channel, like and share my videos and help me grow..It is free and it means a lo",39600,4490157,234,2017-05-03T09:06:03Z,Beauty & Cosmetics,Delhi,India,beauty,15.0,Delhi beauty,2025-08-11T17:52:45.036761
UCjf1gpgAzS0rKeyB3rNj_Rw,Dr. Monisha Kapoor,"Dr Monisha Kapoor Aesthetics is one of the best Plastic Surgery Clinics in Delhi NCR offering first-class cosmetic surgeries based on the finest technologies from all over the globe. Dr Monisha Kapoor, the Director of the Clinics and the Chief Operating Surgeon is ranked as one of the best cosmetic surgeons in India who is capable of performing world-class cosmetic surgery. She is a well-known & reputed plastic surgeon who is distinguished for her practical, indisputable & extensive experience a",30300,7655935,1119,2012-06-02T12:29:08Z,Beauty & Cosmetics,Delhi,India,beauty,15.0,Delhi beauty,2025-08-11T17:52:45.598289
UCNn6AaHharXIbkRleXGboiQ,Mumbiker Nikhil,"ABOUT ME:
I LOVE TO VLOG MY LIFE

Camera : Sony a7Riii

Follow me on instagram : nikkkhil 
Thank you.",4010000,1724714614,2868,2013-07-03T13:53:50Z,Beauty & Cosmetics,Delhi,India,beauty,15.0,Delhi beauty,2025-08-11T17:52:45.858482
UCoLc65rqpapOfa90rNzKu2A,BridalGlamGuide - Wedding E-Magazine,"BridalGlamGuide is a wedding e-magazine. Through this platform, we aim to make planning easy for the brides so we decided to create a website and a youtube channel that could become their one-step guide for everything. On this website, we provide comprehensive information on different aspects of the wedding starting from bridal mehndi, bridal fashion, the lifestyle of the bride-to-be, beauty tips to bridal makeup and hairstyles.

We at Bridal Glam Guide have designed such a platform where we foc",3870,464373,13,2020-06-29T09:00:20.277886Z,Beauty & Cosmetics,Delhi,India,beauty,15.0,Delhi beauty,2025-08-11T17:52:46.127652
UC3g1Pl0V4_642Nbo0BDYWuA,Reiki Varta Sree Mithun Roy⬆️,"🙋‍♂️ কর্ম+টেকনিক/টোটকা=সাফল্য 🔥হোলিফায়ার রেইকি শিখুন ও জীবনের যে কোনো সমস্যা সমাধান করুন 

""বিশ্বাসে মিলায় বস্তু তর্কে বহুদূর"" এটা মাথায় রাখবেন 🙏
 এই চ্যানেলে দেখানো কোনো টোটকা,টেকনিক বা কোনো কিছু কাউকে অনুসরণ করতে  বাধ্য করে না
💐কি কি শেখানো হয়...... 💐
🔥হোলি ফায়ার®|||রেইকি
🔥হোলি ফায়ার 1ও 2
🔥হোলি ফায়ার 3 ART বা মাস্টার প্রাকটিশনার 
🔥হোলি ফায়ার®||| মাস্টার টিচার
🔥হোলিফায়ার®lll করুনা রেইকি
🔥প্রাকটিশনার 1থেকে মাস্টার
Lamafera basic master healer 
Lamafera advance Master healer
Lamafera Master Teach",379000,80487000,1257,2017-05-15T12:37:19Z,Beauty & Cosmetics,Delhi,India,beauty,15.0,Delhi beauty,2025-08-11T17:52:46.398385
UCZl2TQOY6cIigNniQjFockA,Wat-d-Blush!,"'Wat-d-Blush' YouTube channel is a one-way ticket for all the makeup junkies. From best skincare routines to trendy hairdos to simple & happening makeup tutorials, you will find all on 'Wat-d-Blush'. This is your go-to guide to perfecting that everyday look like a pro with the right eye makeup, lip colour, nail paints, blush etc. Beauty tutorials & advice from the experts will make your life a lot simpler.

We will give you new makeup ideas, eye makeup tutorials (eye shadow tutorial, eyeliner tu",2060,314640,106,2019-12-23T06:53:58.848547Z,Beauty & Cosmetics,Delhi,India,beauty,15.0,Delhi beauty,2025-08-11T17:52:46.647770
UCfCGHEA4JoRNqO11mrTOTyw,Lakme Academy,"Lakme Academy ( Training Institute ) Powered by Aptech
Courses: Professional Makeup Courses * Hair Styling * Cosmetology * Personal Grooming * 
Benefits: Cinematic Style Makeup Expert * Chance To Get Bollywood Entry As a Makeup Artist or Personal Grooming

Lakme Academy Dwarka
301-304, Pankaj Plaza, Plot -9,
Sector-6 Main Market, Dwarka, Delhi (M) 8510827999

Lakme Academy Rajouri Garden
J-1/162D, 
Near Metro Station (Pillar 403)
Rajouri Garden, Delhi 
(M) 8510827333

Lakme Academy Rajendra Plac",4020,457281,103,2013-10-27T02:58:40Z,Beauty & Cosmetics,Delhi,India,beauty,15.0,Delhi beauty,2025-08-11T17:52:47.342719
UCGDQNvybfDDeGTf4GtigXaw,DD India,"Welcome to DD India's official YouTube channel.

India’s 24x7 international news channel from the stable of the country’s Public Service Broadcaster, Prasar Bharati. Here is your go-to source for global issues, national events, and in-depth analysis. Discover India's perspective and engagements with countries across the globe. 

We deliver balanced, fair, and accurate information. Stay informed and updated by subscribing to our channel!
 
Follow us on our social media platforms for latest news a",916000,156053896,40292,2018-02-04T19:01:32Z,Beauty & Cosmetics,Delhi,India,beauty,15.0,Delhi beauty,2025-08-11T17:52:47.597953
UCJUjlbelVUHFJ03VjN2ucOA,History Hour,"Welcome to History Hour, where we create videos on interesting people, events, and places from the past after doing a detailed research. 
",282000,23772727,322,2021-01-09T10:41:19.235561Z,Beauty & Cosmetics,Delhi,India,beauty,15.0,Delhi beauty,2025-08-11T17:52:47.956714
UCceJdM18jF1z4F1LQmR-ROg,Hairapist,"Hello Guys!  Welcome to Hairapist. By this channel we will provide information about Hair.
Our aim is to confer you the latest news about diffrent hair styles,hair cuts and colors.We will also introduce various chemicals used in colouring hairs.",72900,11366769,90,2011-11-30T08:00:46Z,Beauty & Cosmetics,Delhi,India,beauty,15.0,Delhi beauty,2025-08-11T17:52:48.216629
UCitB_CbwyGrpgp-NhkD29Xg,Sunil Karki,"Hello Friends My Name Is Sunil Karki, Living In Delhi. I'm Interested For Travel Vlogging And Cooking. I Upload Videos On Youtube Like Budget Tour , Bus Timings & Fare.

Let's Enjoy This Vlog & Stay Connected 
With Me Press The ""🔔 "" Icon For Upcoming Updates

📩 Business Mail - sk4690979@gmail.com 

Live - Delhi , India 
From - Dhangadhi , Nepal

",14100,2501125,137,2022-04-21T15:15:16.532312Z,Beauty & Cosmetics,Delhi,India,beauty,15.0,Delhi beauty,2025-08-11T17:52:48.477539
UCIKAsBdkwH3ERoJd3hJQ-Jg,Kanishk Gupta,"I'm a Travel Filmmaker based out of Delhi, India.
Passion for Storytelling and visual narration guides me to convey the stories, experiences and some lessons through my videos.
And my purpose is to create thoughtful content that delivers a feeling.
Press that subscribe button and Join me on this journey.

Follow: https://www.instagram.com/knishkk/
My website : www.qonvey.in
",1440000,186661949,150,2017-06-19T08:01:01Z,Beauty & Cosmetics,Delhi,India,beauty,15.0,Delhi beauty,2025-08-11T17:52:48.906234
UCEUy_iZqDob-X3o_NTDNuMg,Beauty Jha [MBBS],"difficulty in preparing online?
Hii!
I'm Beauty jha apki didi🥰😁,
 NEET 2023 topper from Physics Wallah, currently pursuing my dream of MBBS at LHMC, Delhi. 🩺📚
10th score- 96.4 percent 
11th - 89 percent
12th- 95 percent 
neet ist attempt- 545
neet 2nd attempt -660 (AIR-4809)
50 k subscribers - 12 may 2025
60 k subscribers -23 july 2025
On this channel, we're all about making your NEET journey exciting and successful. 🚀 Get ready for complete strategy breakdowns, motivation boosts, and doubt-solv",60200,7602333,215,2023-09-18T11:53:40.250165Z,Beauty & Cosmetics,Delhi,India,beauty,15.0,Delhi beauty,2025-08-11T17:52:49.556081
UCgjKIbrlQYDJh8UdJUPia3A,PTC SIMRAN,PTC SIMRAN is 24x7 Television channel devoted to Sikhism.,377000,92825843,14496,2017-07-13T08:17:20Z,Beauty & Cosmetics,Delhi,India,beauty,15.0,Delhi beauty,2025-08-11T17:52:49.970235
UCJC5whxbMamrq_PkM8Lz2fA,Indian🇮🇳Tourist,I love traveling to natural beauty. Will try to show you the best part of Nature Beauty.,1100,70327,114,2014-11-12T04:50:59Z,Beauty & Cosmetics,Delhi,India,beauty,15.0,Delhi beauty,2025-08-11T17:52:50.220266
UCbYcVzpQD8aCyz-v_JUislg,Yash Choudhary,"Life is a Game..
We are just player ..
Be happy keep happy
Love you all.....
 Dm for business and collaboration 
Contact:- theyashch@gmail.com",2260000,378471482,1018,2019-07-02T20:55:10Z,Beauty & Cosmetics,Delhi,India,beauty,15.0,Delhi beauty,2025-08-11T17:52:50.458099
UCzPL6UeTb2zwtN3w_BoXayQ,Justgirlystuff 101,"I'm a 21 year old girl currently pursuing Engineering  I've always had a special love for makeup and that is why Justgirlystuff101 happened. I've just started Youtube and I upload once a week for now. You can expect makeup tutorials, celebrity recreations, Beauty related videos, hairstyles, skin care and hair care videos and DIYs from my channel.
So, please support me and subscribe to my channel to get a notification every time I upload a video.Would mean a lot to me!
Thank you so much!",16100,1408485,81,2015-12-29T17:23:15Z,Beauty & Cosmetics,Delhi,India,beauty,15.0,Delhi beauty,2025-08-11T17:52:50.712296
UCwJWA4s-l7ApefrRMpoURrA,GURUKUL THE SCHOOL,"Gurukul The School - a place of great hope and enthusiasm!! 
In complete harmony with its name, Gurukul is an arch under which, the learners are taught not just to proceed and succeed academically, but also to scan opportunities, find out their inner strengths and hone their skills. We believe that “Values can never be taught but are caught”.
Its is among the top 5 schools in Delhi / NCR. 
This channel is the medium for the world to know about GURUKUL FAMILY.",2830,464964,269,2012-10-02T09:50:49Z,Beauty & Cosmetics,Delhi,India,beauty,15.0,Delhi beauty,2025-08-11T17:52:50.976475
UC4F4MRwFll1oK6MNi-VKmkg,Iti [ IIT DELHI ],"The IIT girl who shares the real story — not just marks, but mental breakdowns, friendships, failures, and the truth behind the IIT tag.

For business inquiries & collaborations, reach out at : itiazad@gmail.com
Connect with me on Instagram: @icyitii",16400,9397517,181,2020-07-10T15:05:28.594846Z,Beauty & Cosmetics,Delhi,India,beauty,15.0,Delhi beauty,2025-08-11T17:52:51.307438
UCHiwh4jQENeBtz81RaWHYAA,Namita Bharali,"Hi,
My Name is Namita Bharali. In this channel i am going to talk about Makeup tutorials ,Fashion video, Blog video, Haul video, Life Style Video, Fashion Hack idea, Beauty hack idea and also i will share my experience about beauty, Fashion and all these things.
So Please do subscribe to ""Namita Bharali"" and hit that notification bell so you don't miss anything.

                                                                                                        Thank You ",6590,1557727,296,2020-06-14T08:44:05.224349Z,Beauty & Cosmetics,Delhi,India,beauty,15.0,Delhi beauty,2025-08-11T17:52:51.568370
UC24DeV-1ERiJYIV0dPBY1TA,Sneha Sharma,"10 Days Makeup Course! Date:22 August Fee:20000/-
Call now for enquiry:7982496340",272000,90011869,1607,2014-09-22T19:37:31Z,Beauty & Cosmetics,Delhi,India,beauty,15.0,Delhi beauty,2025-08-11T17:52:51.824349
UCuodSLjP3EDOctg9mziFhLA,The Haul Diaries,"Hello Everyone! 
I am Supriya, a Professional Makeup Artist Certified by LAKME, Delhi. This is My Youtube channel “The Haul Diaries"" where I post about Fashion, Skin Care, Beauty & Basically Everything and Anything that I like ....! 
I care about product quality & their price which must be affordable to purchase. In my Haul Videos you can get an idea about my selection and choices. I hope you enjoy my videos as much as I do making them. So you are at right place. 
Lets make this Closet Life Fami",31800,7046892,487,2020-07-18T10:27:52.650145Z,Beauty & Cosmetics,Delhi,India,beauty,15.0,Delhi beauty,2025-08-11T17:52:52.092637
UCy4yb30hqiUS2JxqkCgML0Q,The Optimist Classes,"Physics is fascinating,
Hello everyone, 

Welcome to Optimist Classes! This channel  helps and motivates students studying Physics at different levels: postgraduate, graduate, and undergraduate. Our leader is Dr. M. Shamim, he has impressive credentials: AIR-16 in GATE, AIR-17 in IIT-JAM, and AIR-23 NET-JRF. Dr. Shamim earned his M.Sc. in Physics from IIT Kanpur and also Ph.D. in theoretical Physics from IIT Kanpur. With over 14 years of experience, he's been guiding and supporting students prep",6620,242539,76,2020-03-16T07:26:27.335781Z,Beauty & Cosmetics,Delhi,India,beauty,15.0,Delhi beauty,2025-08-11T17:52:52.348801
UCqd34FUtTT3mE4Fz9Kd0Jwg,Ugly Duckling Los Angeles,"Real Products for Real Hairdressers. 

Online Training & Tutorials. 

Blonding Products, Toners, Bleaches, Color Correction, Fashion Colors. To get your free tube of hair color just sign up on www.uglyducklingcolor.com",11500,3314228,289,2015-06-24T15:13:06Z,Beauty & Cosmetics,Los Angeles,USA,beauty,15.0,Los Angeles beauty,2025-08-11T17:52:57.422559
UCkftunDxoeMgALywP0I9yuQ,Amanda Diaz,"Hey Guys!

Welcome to my Youtube :) I love to bring you guys along on all things. If you enjoy vlogs, beauty, fashion, wellness, cooking, and lifestyle, you've come to the right place.
",777000,7265504,65,2014-07-29T17:18:29Z,Beauty & Cosmetics,Los Angeles,USA,beauty,15.0,Los Angeles beauty,2025-08-11T17:52:58.404757
